week, date, website, count, sadness, contempt, disgust, anger, surprise, fear, happiness, neutral, imageUrl
23,01/03/2016,www.bloomberg.com,1,0.000268192467,0.009955237,0.000139320982,9.3296745e-05,1.61676744e-05,2.36219549e-07,0.403944343,0.5855832,http://assets.bwbx.io/images/users/iqjWHBFdfxIU/i6p.aqniYLLU/v5/-1x-1.jpg
23,01/03/2016,www.bloomberg.com,1,0.0725849047,0.02415788,0.00313716754,0.009943728,0.000141197248,1.57413815e-05,0.00285361381,0.8871658,http://assets.bwbx.io/images/users/iqjWHBFdfxIU/i8i1XHLCBUOc/v5/-1x-1.jpg
23,01/03/2016,www.wsj.com,1,0.0007386001,0.00569433253,0.0131136682,0.2392031,0.09634439,0.000574982143,0.0004173628,0.643913567,https://si.wsj.net/public/resources/images/BN-LZ059_SANDER_G_20160105162909.jpg
23,01/03/2016,www.msnbc.com,1,0.0008359754,0.0140663674,0.0115463166,0.008973981,0.00265836413,3.0504958e-05,0.3445255,0.617363036,http://media1.s-nbcnews.com/j/MSNBC/Components/Video/__NEW/2016-01-06T13-23-50-4Z--1280x720.video_1067x600.jpg
23,01/03/2016,www.nbcnews.com,1,1.38909195e-08,1.6300584e-08,3.65149026e-06,4.592469e-06,6.76351775e-09,6.5062164e-11,0.9999915,2.26763262e-07,http://media4.s-nbcnews.com/j/newscms/2015_53/1356866/151229-bernie-sanders-mn-1040_09db889e45dfad9da33d7b81554c7873.nbcnews-fp-1200-800.jpg
23,01/03/2016,www.politico.com,1,0.000142776174,5.35587351e-05,3.612406e-05,9.829595e-06,7.674082e-06,1.17158585e-07,0.9973793,0.00237059477,http://static.politico.com/2f/19/215196614059944263ed43cefe1b/democrats-in-nevada-with-reid.jpg
23,01/03/2016,www.politico.com,1,0.02596628,0.001721094,0.002147731,0.004094619,0.007560143,0.00555838272,0.0110838059,0.941867948,http://static.politico.com/a7/a3/aa5d7af14a909fd84d2b80cdb8ac/150930-elizabeth-warren-gty-629.jpg
23,01/03/2016,www.msnbc.com,1,0.00302967243,0.005908775,0.03807666,0.299105674,0.05889352,0.00208393415,0.0015298326,0.591371953,http://media1.s-nbcnews.com/j/MSNBC/Components/Video/__NEW/2016-01-08T01-40-53-266Z--1280x720.video_1067x600.jpg
23,01/03/2016,www.bloomberg.com,1,0.0151460273,0.00280620973,0.000553604041,0.00129913026,0.00115281891,9.31848845e-05,0.0464244336,0.932524562,http://www.bloomberg.com/features/2016-bernie-sanders-fundraising/img/bernie_sanders_offstage_1200x630.jpg
23,01/03/2016,www.huffingtonpost.com,1,0.002254013,0.0132212043,0.018577937,0.0435356051,0.12270914,0.000111413356,0.006466289,0.7931244,http://i.huffpost.com/gen/3863954/images/o-BERNIE-SANDERS-facebook.jpg
23,01/03/2016,www.nbcnews.com,1,0.00124654034,0.00253804331,0.000384162733,8.74114339e-05,0.001934657,3.45273947e-05,0.543703258,0.450071424,http://media1.s-nbcnews.com/j/newscms/2016_01/1368881/160108-clintion_guns-1852_ddb3f530a786a506c141bd03e24c78a8.nbcnews-fp-1200-800.jpg
